product_id,product_name,price,units_sold,page_views,conversion_rate,product_category,date
P-1026,Running Shorts,113.22,113,1329,0.085,Apparel,2025-01-03
P-1027,Stretch Denim Jeans,76.87,110,1917,0.0574,Apparel,2025-01-03
P-1028,Linen Button Shirt,81.53,101,1384,0.073,Apparel,2025-01-03
P-1029,Seamless Leggings,40.49,91,983,0.0926,Apparel,2025-01-03
P-1030,Merino Crew Socks,106.18,76,1507,0.0504,Apparel,2025-01-03
P-1031,Canvas Weekender Bag,119.99,53,635,0.0835,Apparel,2025-01-03
P-1032,Rain Shell Jacket,56.58,88,903,0.0975,Apparel,2025-01-03
P-1033,Adjustable Dumbbell,40.86,49,557,0.088,Fitness,2025-01-03
P-1034,Yoga Mat Pro,209.97,53,1486,0.0357,Fitness,2025-01-03
P-1035,Resistance Band Kit,135.8,15,722,0.0208,Fitness,2025-01-03
P-1036,Foam Roller,74.85,62,1590,0.039,Fitness,2025-01-03
P-1037,Cycling Trainer Stand,158.28,81,1264,0.0641,Fitness,2025-01-03
P-1038,Hydration Vest,168.52,38,1101,0.0345,Fitness,2025-01-03
P-1039,Recovery Massage Gun,107.55,35,985,0.0355,Fitness,2025-01-03
P-1040,Balance Board,146.14,66,866,0.0762,Fitness,2025-01-03
P-1041,Organic Coffee Beans,9.89,188,2215,0.0849,Grocery,2025-01-03
P-1042,Protein Granola,16.11,87,605,0.1438,Grocery,2025-01-03
P-1043,Sparkling Water Pack,35.5,455,2295,0.1983,Grocery,2025-01-03
P-1044,Olive Oil Tin,23.99,369,1796,0.2055,Grocery,2025-01-03
P-1045,Dried Mango Slices,13.16,142,727,0.1953,Grocery,2025-01-03
P-1046,Plant-Based Jerky,5.31,544,2389,0.2277,Grocery,2025-01-03
P-1047,Almond Butter Jar,20.41,238,1979,0.1203,Grocery,2025-01-03
P-1048,Herbal Tea Sampler,26.56,411,2286,0.1798,Grocery,2025-01-03
P-1001,Wireless Earbuds,142.02,25,1760,0.0142,Electronics,2025-01-04
P-1002,USB-C Docking Hub,183.83,79,2790,0.0283,Electronics,2025-01-04
P-1003,Smart Home Camera,221.67,33,2556,0.0129,Electronics,2025-01-04
P-1004,Portable Charger,269.42,9,757,0.0119,Electronics,2025-01-04
P-1005,Bluetooth Speaker,228.68,71,1784,0.0398,Electronics,2025-01-04
P-1006,Gaming Keyboard,215.26,62,1581,0.0392,Electronics,2025-01-04
P-1007,Streaming Microphone,291.09,37,1741,0.0213,Electronics,2025-01-04
P-1008,Fitness Smartwatch,320.01,71,1582,0.0449,Electronics,2025-01-04
P-1009,Ceramic Cookware Set,64.49,60,1126,0.0533,Home & Kitchen,2025-01-04
P-1010,Air Fryer Basket,68.42,94,1068,0.088,Home & Kitchen,2025-01-04
P-1011,Memory Foam Pillow,89.6,114,2085,0.0547,Home & Kitchen,2025-01-04
P-1012,Countertop Blender,122.49,65,1973,0.0329,Home & Kitchen,2025-01-04
P-1013,Cotton Sheet Set,60.56,32,718,0.0446,Home & Kitchen,2025-01-04
P-1014,Desk Organizer,100.18,82,1474,0.0556,Home & Kitchen,2025-01-04
P-1015,LED Floor Lamp,83.78,36,1107,0.0325,Home & Kitchen,2025-01-04
P-1016,Vacuum Storage Bags,59.49,140,1777,0.0788,Home & Kitchen,2025-01-04
P-1017,Hydrating Face Serum,61.35,85,1202,0.0707,Beauty,2025-01-04
P-1018,Mineral Sunscreen,12.5,237,2018,0.1174,Beauty,2025-01-04
P-1019,Retinol Night Cream,33.44,125,2009,0.0622,Beauty,2025-01-04
P-1020,Matte Lip Kit,80.46,207,2264,0.0914,Beauty,2025-01-04
P-1021,Scalp Care Tonic,46.07,167,2090,0.0799,Beauty,2025-01-04
P-1022,Fragrance Discovery Set,17.2,432,4056,0.1065,Beauty,2025-01-04
P-1023,Reusable Makeup Pads,20.49,182,1882,0.0967,Beauty,2025-01-04
P-1024,Volumizing Hair Brush,35.62,349,1581,0.2207,Beauty,2025-01-04
P-1025,Performance Hoodie,38.02,86,975,0.0882,Apparel,2025-01-04
P-1026,Running Shorts,113.41,144,1678,0.0858,Apparel,2025-01-04
P-1027,Stretch Denim Jeans,78.49,150,2343,0.064,Apparel,2025-01-04
P-1028,Linen Button Shirt,80.36,102,1484,0.0687,Apparel,2025-01-04
P-1029,Seamless Leggings,39.88,175,1656,0.1057,Apparel,2025-01-04
P-1030,Merino Crew Socks,107.81,93,1781,0.0522,Apparel,2025-01-04
P-1031,Canvas Weekender Bag,121.07,92,950,0.0968,Apparel,2025-01-04
P-1032,Rain Shell Jacket,56.92,65,772,0.0842,Apparel,2025-01-04
P-1033,Adjustable Dumbbell,40.04,62,620,0.1,Fitness,2025-01-04
P-1034,Yoga Mat Pro,204.6,46,1662,0.0277,Fitness,2025-01-04
P-1035,Resistance Band Kit,130.84,35,776,0.0451,Fitness,2025-01-04
P-1036,Foam Roller,76.91,59,1573,0.0375,Fitness,2025-01-04
P-1037,Cycling Trainer Stand,155.97,108,1550,0.0697,Fitness,2025-01-04
P-1038,Hydration Vest,172.67,24,1030,0.0233,Fitness,2025-01-04
P-1039,Recovery Massage Gun,109.59,33,1044,0.0316,Fitness,2025-01-04
P-1040,Balance Board,159.78,99,1175,0.0843,Fitness,2025-01-04
P-1041,Organic Coffee Beans,10,187,2299,0.0813,Grocery,2025-01-04
P-1042,Protein Granola,16.83,82,689,0.119,Grocery,2025-01-04
P-1043,Sparkling Water Pack,36.44,395,2255,0.1752,Grocery,2025-01-04
P-1044,Olive Oil Tin,24.04,359,1683,0.2133,Grocery,2025-01-04
P-1045,Dried Mango Slices,13.05,139,768,0.181,Grocery,2025-01-04
P-1046,Plant-Based Jerky,5.21,675,3639,0.1855,Grocery,2025-01-04
P-1047,Almond Butter Jar,20.27,221,1603,0.1379,Grocery,2025-01-04
P-1048,Herbal Tea Sampler,26.71,404,2953,0.1368,Grocery,2025-01-04
P-1001,Wireless Earbuds,139.34,26,1663,0.0156,Electronics,2025-01-05
P-1002,USB-C Docking Hub,182.69,102,3750,0.0272,Electronics,2025-01-05
P-1003,Smart Home Camera,227.12,27,2750,0.0098,Electronics,2025-01-05
P-1004,Portable Charger,273.34,12,981,0.0122,Electronics,2025-01-05
P-1005,Bluetooth Speaker,227.74,43,1415,0.0304,Electronics,2025-01-05
P-1006,Gaming Keyboard,215.42,51,1569,0.0325,Electronics,2025-01-05
P-1007,Streaming Microphone,303.88,57,1897,0.03,Electronics,2025-01-05
P-1008,Fitness Smartwatch,325.33,89,1551,0.0574,Electronics,2025-01-05
P-1009,Ceramic Cookware Set,66.61,64,1184,0.0541,Home & Kitchen,2025-01-05
P-1010,Air Fryer Basket,68.42,80,1057,0.0757,Home & Kitchen,2025-01-05
P-1011,Memory Foam Pillow,92.98,124,2498,0.0496,Home & Kitchen,2025-01-05
P-1012,Countertop Blender,120.66,67,2299,0.0291,Home & Kitchen,2025-01-05
P-1013,Cotton Sheet Set,61.53,33,757,0.0436,Home & Kitchen,2025-01-05
P-1014,Desk Organizer,102.68,57,1214,0.047,Home & Kitchen,2025-01-05
P-1015,LED Floor Lamp,85.05,34,1016,0.0335,Home & Kitchen,2025-01-05
P-1016,Vacuum Storage Bags,63.34,100,1467,0.0682,Home & Kitchen,2025-01-05
P-1017,Hydrating Face Serum,60.92,91,1035,0.0879,Beauty,2025-01-05
P-1018,Mineral Sunscreen,12.88,356,2455,0.145,Beauty,2025-01-05
P-1019,Retinol Night Cream,33.75,153,1898,0.0806,Beauty,2025-01-05
P-1020,Matte Lip Kit,77.8,248,2892,0.0858,Beauty,2025-01-05
P-1021,Scalp Care Tonic,47.61,174,2223,0.0783,Beauty,2025-01-05
P-1022,Fragrance Discovery Set,16.99,477,3765,0.1267,Beauty,2025-01-05
P-1023,Reusable Makeup Pads,20.77,185,1543,0.1199,Beauty,2025-01-05
P-1024,Volumizing Hair Brush,35.56,272,1153,0.2359,Beauty,2025-01-05
P-1025,Performance Hoodie,38.07,100,1014,0.0986,Apparel,2025-01-05
P-1026,Running Shorts,109.59,121,1392,0.0869,Apparel,2025-01-05
P-1027,Stretch Denim Jeans,73.91,121,2315,0.0523,Apparel,2025-01-05
P-1028,Linen Button Shirt,81.43,122,1989,0.0613,Apparel,2025-01-05
P-1029,Seamless Leggings,39.61,148,1219,0.1214,Apparel,2025-01-05
P-1030,Merino Crew Socks,106.76,75,1529,0.0491,Apparel,2025-01-05
P-1031,Canvas Weekender Bag,123.86,79,930,0.0849,Apparel,2025-01-05
P-1032,Rain Shell Jacket,59.66,82,850,0.0965,Apparel,2025-01-05
P-1033,Adjustable Dumbbell,39.91,45,476,0.0945,Fitness,2025-01-05
P-1034,Yoga Mat Pro,217.45,41,1167,0.0351,Fitness,2025-01-05
P-1035,Resistance Band Kit,139.1,26,698,0.0372,Fitness,2025-01-05
P-1036,Foam Roller,76.16,83,1882,0.0441,Fitness,2025-01-05
P-1037,Cycling Trainer Stand,160.47,91,1441,0.0632,Fitness,2025-01-05
P-1038,Hydration Vest,171.77,23,1074,0.0214,Fitness,2025-01-05
P-1039,Recovery Massage Gun,105.86,28,839,0.0334,Fitness,2025-01-05
P-1040,Balance Board,166.68,151,1904,0.0793,Fitness,2025-01-05
P-1041,Organic Coffee Beans,9.77,220,2878,0.0764,Grocery,2025-01-05
P-1042,Protein Granola,16.91,92,827,0.1112,Grocery,2025-01-05
P-1043,Sparkling Water Pack,36.09,381,2156,0.1767,Grocery,2025-01-05
P-1044,Olive Oil Tin,23.13,339,1667,0.2034,Grocery,2025-01-05
P-1045,Dried Mango Slices,13.48,170,846,0.2009,Grocery,2025-01-05
P-1046,Plant-Based Jerky,5.2,557,2764,0.2015,Grocery,2025-01-05
P-1047,Almond Butter Jar,20.15,225,1781,0.1263,Grocery,2025-01-05
P-1048,Herbal Tea Sampler,27.49,383,2888,0.1326,Grocery,2025-01-05
P-1001,Wireless Earbuds,133.58,17,1300,0.0131,Electronics,2025-01-06
P-1002,USB-C Docking Hub,174.55,67,2010,0.0333,Electronics,2025-01-06
P-1003,Smart Home Camera,217,32,1915,0.0167,Electronics,2025-01-06
P-1004,Portable Charger,267.85,9,842,0.0107,Electronics,2025-01-06
P-1005,Bluetooth Speaker,232.09,44,1206,0.0365,Electronics,2025-01-06
P-1006,Gaming Keyboard,214.79,47,1017,0.0462,Electronics,2025-01-06
P-1007,Streaming Microphone,299.6,39,1468,0.0266,Electronics,2025-01-06
P-1008,Fitness Smartwatch,302.53,76,1279,0.0594,Electronics,2025-01-06
P-1009,Ceramic Cookware Set,66.21,77,1193,0.0645,Home & Kitchen,2025-01-06
P-1010,Air Fryer Basket,64.85,68,784,0.0867,Home & Kitchen,2025-01-06
P-1011,Memory Foam Pillow,90.84,86,1289,0.0667,Home & Kitchen,2025-01-06
P-1012,Countertop Blender,125.33,45,1599,0.0281,Home & Kitchen,2025-01-06
P-1013,Cotton Sheet Set,61.48,43,666,0.0646,Home & Kitchen,2025-01-06
P-1014,Desk Organizer,102.99,64,1404,0.0456,Home & Kitchen,2025-01-06
P-1015,LED Floor Lamp,80.82,36,907,0.0397,Home & Kitchen,2025-01-06
P-1016,Vacuum Storage Bags,61.01,86,1231,0.0699,Home & Kitchen,2025-01-06
P-1017,Hydrating Face Serum,60.18,67,1054,0.0636,Beauty,2025-01-06
P-1018,Mineral Sunscreen,12.92,199,1555,0.128,Beauty,2025-01-06
P-1019,Retinol Night Cream,31.22,176,1873,0.094,Beauty,2025-01-06
P-1020,Matte Lip Kit,80.76,176,1820,0.0967,Beauty,2025-01-06
P-1021,Scalp Care Tonic,44.77,120,1491,0.0805,Beauty,2025-01-06
P-1022,Fragrance Discovery Set,17,268,2097,0.1278,Beauty,2025-01-06
P-1023,Reusable Makeup Pads,20.98,146,1273,0.1147,Beauty,2025-01-06
P-1024,Volumizing Hair Brush,35.7,174,1125,0.1547,Beauty,2025-01-06
P-1025,Performance Hoodie,38.43,79,692,0.1142,Apparel,2025-01-06
P-1026,Running Shorts,114.29,107,1087,0.0984,Apparel,2025-01-06
P-1027,Stretch Denim Jeans,84.06,101,1894,0.0533,Apparel,2025-01-06
P-1028,Linen Button Shirt,79.16,82,1080,0.0759,Apparel,2025-01-06
P-1029,Seamless Leggings,39.2,96,789,0.1217,Apparel,2025-01-06
P-1030,Merino Crew Socks,104.22,61,1268,0.0481,Apparel,2025-01-06
P-1031,Canvas Weekender Bag,118.94,66,678,0.0973,Apparel,2025-01-06
P-1032,Rain Shell Jacket,60.13,51,674,0.0757,Apparel,2025-01-06
P-1033,Adjustable Dumbbell,40.35,36,456,0.0789,Fitness,2025-01-06
P-1034,Yoga Mat Pro,210.52,38,992,0.0383,Fitness,2025-01-06
P-1035,Resistance Band Kit,135.61,21,599,0.0351,Fitness,2025-01-06
P-1036,Foam Roller,74.42,58,1409,0.0412,Fitness,2025-01-06
P-1037,Cycling Trainer Stand,165.62,79,1037,0.0762,Fitness,2025-01-06
P-1038,Hydration Vest,164.77,28,757,0.037,Fitness,2025-01-06
P-1039,Recovery Massage Gun,107.56,23,671,0.0343,Fitness,2025-01-06
P-1040,Balance Board,168.77,117,1504,0.0778,Fitness,2025-01-06
P-1041,Organic Coffee Beans,9.63,167,2041,0.0818,Grocery,2025-01-06
P-1042,Protein Granola,16.75,79,609,0.1297,Grocery,2025-01-06
P-1043,Sparkling Water Pack,38.1,334,2001,0.1669,Grocery,2025-01-06
P-1044,Olive Oil Tin,23.82,259,1334,0.1942,Grocery,2025-01-06
P-1045,Dried Mango Slices,12.89,122,594,0.2054,Grocery,2025-01-06
P-1046,Plant-Based Jerky,5.19,461,2578,0.1788,Grocery,2025-01-06
P-1047,Almond Butter Jar,20.67,215,1748,0.123,Grocery,2025-01-06
P-1048,Herbal Tea Sampler,28.57,476,2920,0.163,Grocery,2025-01-06
P-1001,Wireless Earbuds,137.46,23,1191,0.0193,Electronics,2025-01-07
P-1002,USB-C Docking Hub,175.23,61,2216,0.0275,Electronics,2025-01-07
P-1003,Smart Home Camera,225.39,21,1849,0.0114,Electronics,2025-01-07
P-1004,Portable Charger,267.53,14,751,0.0186,Electronics,2025-01-07
P-1005,Bluetooth Speaker,235.7,38,1012,0.0375,Electronics,2025-01-07
P-1006,Gaming Keyboard,218.82,47,1168,0.0402,Electronics,2025-01-07
P-1007,Streaming Microphone,298.89,37,1610,0.023,Electronics,2025-01-07
P-1008,Fitness Smartwatch,339.38,72,1459,0.0493,Electronics,2025-01-07
P-1009,Ceramic Cookware Set,66.05,78,1116,0.0699,Home & Kitchen,2025-01-07
P-1010,Air Fryer Basket,65.97,59,699,0.0844,Home & Kitchen,2025-01-07
P-1011,Memory Foam Pillow,92.52,79,1740,0.0454,Home & Kitchen,2025-01-07
P-1012,Countertop Blender,121.47,58,2109,0.0275,Home & Kitchen,2025-01-07
P-1013,Cotton Sheet Set,60.05,26,617,0.0421,Home & Kitchen,2025-01-07
P-1014,Desk Organizer,101.64,68,1244,0.0547,Home & Kitchen,2025-01-07
P-1015,LED Floor Lamp,80.72,25,805,0.0311,Home & Kitchen,2025-01-07
P-1016,Vacuum Storage Bags,61.47,89,1263,0.0705,Home & Kitchen,2025-01-07
P-1017,Hydrating Face Serum,61.49,68,985,0.069,Beauty,2025-01-07
P-1018,Mineral Sunscreen,12.57,242,1936,0.125,Beauty,2025-01-07
P-1019,Retinol Night Cream,31.39,150,1907,0.0787,Beauty,2025-01-07
P-1020,Matte Lip Kit,75.8,189,2151,0.0879,Beauty,2025-01-07
P-1021,Scalp Care Tonic,45.95,121,1621,0.0746,Beauty,2025-01-07
P-1022,Fragrance Discovery Set,16.87,268,2150,0.1247,Beauty,2025-01-07
P-1023,Reusable Makeup Pads,20.88,121,1140,0.1061,Beauty,2025-01-07
P-1024,Volumizing Hair Brush,38.47,218,1199,0.1818,Beauty,2025-01-07
P-1025,Performance Hoodie,38.67,72,883,0.0815,Apparel,2025-01-07
P-1026,Running Shorts,112.31,97,1012,0.0958,Apparel,2025-01-07
P-1027,Stretch Denim Jeans,77.64,88,1557,0.0565,Apparel,2025-01-07
P-1028,Linen Button Shirt,80.93,74,1057,0.07,Apparel,2025-01-07
P-1029,Seamless Leggings,40.34,119,954,0.1247,Apparel,2025-01-07
P-1030,Merino Crew Socks,109.95,38,1000,0.038,Apparel,2025-01-07
P-1031,Canvas Weekender Bag,118.87,54,727,0.0743,Apparel,2025-01-07
P-1032,Rain Shell Jacket,63.62,47,669,0.0703,Apparel,2025-01-07
P-1033,Adjustable Dumbbell,39.07,39,532,0.0733,Fitness,2025-01-07
P-1034,Yoga Mat Pro,211.62,27,1117,0.0242,Fitness,2025-01-07
P-1035,Resistance Band Kit,136.73,21,596,0.0352,Fitness,2025-01-07
P-1036,Foam Roller,75.85,71,1616,0.0439,Fitness,2025-01-07
P-1037,Cycling Trainer Stand,156.92,88,1048,0.084,Fitness,2025-01-07
P-1038,Hydration Vest,162.82,28,935,0.0299,Fitness,2025-01-07
P-1039,Recovery Massage Gun,109.21,22,670,0.0328,Fitness,2025-01-07
P-1040,Balance Board,157.38,99,1290,0.0767,Fitness,2025-01-07
P-1041,Organic Coffee Beans,9.86,135,1798,0.0751,Grocery,2025-01-07
P-1042,Protein Granola,16.34,63,604,0.1043,Grocery,2025-01-07
P-1043,Sparkling Water Pack,36.4,265,1449,0.1829,Grocery,2025-01-07
P-1044,Olive Oil Tin,23.5,327,1734,0.1886,Grocery,2025-01-07
P-1045,Dried Mango Slices,12.81,81,467,0.1734,Grocery,2025-01-07
P-1046,Plant-Based Jerky,5.08,678,3183,0.213,Grocery,2025-01-07
P-1047,Almond Butter Jar,20.2,243,1662,0.1462,Grocery,2025-01-07
P-1048,Herbal Tea Sampler,27.59,402,2738,0.1468,Grocery,2025-01-07
